"","Topic 1","Topic 2","Topic 3","Topic 4"
"1","track","delet","america","rage"
"2","sincer","maga","hillari","assassin"
"3","stronger","usa","time","whose"
"4","tradit","trump","good","hit"
"5","topic","remov","said","thee"
"6","arabia","cant","shit","extra"
"7","cowork","stump","everi","impress"
"8","larg","will","much","jill"
"9","arent","vote","know","saw"
"10","dirti","peopl","watch","stress"
"11","root","fuck","ive","wors"
"12","boss","now","today","avail"
"13","cartel","just","better","band"
"14","dog","get","result","camera"
"15","nasti","win","continu","weird"
"16","qatar","make","power","arrog"
"17","redneck","like","alreadi","averag"
"18","texa","can","yet","eventu"
"19","gowdi","elect","wait","forc"
"20","keeganmichael","want","reddit","inevit"
"21","lazi","presid","counti","innov"
"22","min","great","care","isol"
"23","agenc","need","train","master"
"24","brit","one","face","passion"
"25","civil","support","run","stage"
"26","haiti","countri","stay","con"
"27","reject","say","govern","contribut"
"28","scheme","work","hand","divin"
"29","shed","let","free","famous"
"30","swear","call","serious","farag"
"31","archiv","see","pleas","httpwwwelectionreturnspagovenrnew"
"32","australia","right","truth","mean"
"33","beef","state","els","muh"
"34","birthday","thank","hear","rode"
"35","goddamn","donald","rest","safe"
"36","sexism","think","brake","squirm"
"37","stay","take","respect","treatment"
"38","besid","clinton","system","abramov"
"39","cast","year","effort","anymor"
"40","denial","still","moment","applaus"
"41","detroit","media","morn","bob"
"42","everi","love","race","boot"
"43","facebook","american","uplock","brilliant"
"44","gain","won","anoth","broke"
"45","listen","never","pay","chariti"
"46","park","come","ctr","dahnald"
"47","peer","guy","fear","enlighten"
"48","relief","even","give","food"
"49","score","hope","etc","hater"
"50","socialist","look","conced","idk"
"51","twist","know","kid","illinoi"
"52","young","thing","done","legit"
"53","affili","mani","heart","mend"
"54","brows","help","laugh","nixon"
"55","delusion","feel","damn","own"
"56","employe","back","deserv","period"
"57","jeb","happen","pull","presenc"
"58","lefti","day","didnt","profession"
"59","lobbi","way","michigan","reflect"
"60","melt","believ","soon","rule"
"61","movi","god","inform","sheep"
"62","nnnn","start","absolut","subject"
"63","peter","keep","abl","term"
"64","renew","centiped","cours","weight"
"65","rust","got","home","aisl"
"66","ruth","world","yes","arabia"
"67","tom","post","crook","automat"
"68","worship","everyon","die","bubbl"
"69","align","new","reach","cabinet"
"70","assumpt","first","fought","colour"
"71","attribut","realli","found","cuban"
"72","border","victori","week","disappoint"
"73","bread","corrupt","destroy","dismiss"
"74","cake","polit","issu","domreddit"
"75","conduct","tri","divid","fine"
"76","discours","energi","kept","flaw"
"77","discuss","show","term","forget"
"78","doom","made","step","graduat"
"79","economi","voter","choic","grasp"
"80","finger","campaign","tax","kain"
"81","hate","meme","tear","killer"
"82","hilliari","well","ignor","king"
"83","husband","chang","middl","mandat"
"84","ive","live","opinion","milwauke"
"85","journey","florida","rthedonald","natasha"
"86","karl","last","citizen","nnif"
"87","languag","must","number","nnnpm"
"88","natur","democrat","poll","nnnwe"
"89","nndonald","dont","freedom","nnpleas"
"90","nonsens","thought","safe","nobl"
"91","nthis","best","shall","pat"
"92","pac","lot","light","penn"
"93","qualiti","ever","peac","pleasur"
"94","repli","use","case","realm"
"95","rose","friend","stori","regular"
"96","someth","next","gone","rev"
"97","spring","nation","minut","roe"
"98","thru","night","don","rot"
"99","tireless","white","refus","rug"
"100","truli","also","men","sigh"
