"","term","topic1","topic2","topic3","topic4","log_ratio"
"1","actual",0.000244316727551946,0.00129669509894998,2.5896404025337e-06,1.25259914322219e-05,2.40801473980186
"2","agenc",0.00129138841706029,5.86474490705552e-07,5.43824484532077e-05,1.25259914322219e-05,-11.1045670135857
"3","also",0.000127975428717686,0.00140812525218403,2.5896404025337e-06,1.25259914322219e-05,3.45983692235752
"4","american",1.1634129883426e-05,0.00308544229560191,2.5896404025337e-06,1.25259914322219e-05,8.05097018749919
"5","anyon",1.1634129883426e-05,0.0010034578535972,0.00103844580141601,1.25259914322219e-05,6.43047289725381
"6","arabia",0.00175675361239733,5.86474490705552e-07,2.5896404025337e-06,0.000764085477365533,-11.5485558865607
"7","archiv",0.00117504711822603,5.86474490705552e-07,2.5896404025337e-06,0.000263045820076659,-10.9683626299874
"8","arent",0.00164041231356307,5.86474490705552e-07,2.5896404025337e-06,1.25259914322219e-05,-11.4497024996344
"9","australia",0.00117504711822603,1.23159643048166e-05,2.5896404025337e-06,1.25259914322219e-05,-6.57604520720864
"10","back",1.1634129883426e-05,0.0023875376516623,2.84860444278707e-05,1.25259914322219e-05,7.68101635890441
"11","beef",0.00117504711822603,5.86474490705552e-07,2.5896404025337e-06,1.25259914322219e-05,-10.9683626299874
"12","believ",1.1634129883426e-05,0.00218813632482241,0.0004687249128586,1.25259914322219e-05,7.55519549758118
"13","besid",0.00105870581939177,1.81807092118721e-05,2.5896404025337e-06,0.00013778590575444,-5.86374947704742
"14","best",0.000244316727551946,0.00149609642578986,2.5896404025337e-06,1.25259914322219e-05,2.61437861358811
"15","big",1.1634129883426e-05,0.00106210530266776,2.5896404025337e-06,1.25259914322219e-05,6.51241968371457
"16","birthday",0.00117504711822603,1.23159643048166e-05,2.5896404025337e-06,1.25259914322219e-05,-6.57604520720864
"17","boss",0.00152407101472881,5.86474490705552e-07,2.5896404025337e-06,1.25259914322219e-05,-11.3435741487731
"18","bring",1.1634129883426e-05,0.0011090232619242,2.5896404025337e-06,1.25259914322219e-05,6.57478250071416
"19","brit",0.00129138841706029,5.86474490705552e-07,2.5896404025337e-06,1.25259914322219e-05,-11.1045670135857
"20","call",1.1634129883426e-05,0.0038126706640768,2.5896404025337e-06,1.25259914322219e-05,8.35629479157923
"21","campaign",0.000244316727551946,0.00177760418132853,2.5896404025337e-06,1.25259914322219e-05,2.86310956676997
"22","can",0.000244316727551946,0.00608819168801434,0.000183864468579893,1.25259914322219e-05,4.63918923449787
"23","candid",1.1634129883426e-05,0.0013201540785782,2.5896404025337e-06,0.00013778590575444,6.82619919421855
"24","cant",1.1634129883426e-05,0.0159292336420535,0.00101254939739068,1.25259914322219e-05,10.4190978292928
"25","cartel",0.00152407101472881,5.86474490705552e-07,2.5896404025337e-06,1.25259914322219e-05,-11.3435741487731
"26","cast",0.00105870581939177,0.000106151882817705,2.5896404025337e-06,1.25259914322219e-05,-3.31809990035109
"27","centiped",1.1634129883426e-05,0.00214121836556597,5.43824484532077e-05,0.00013778590575444,7.52392480619928
"28","chang",0.000127975428717686,0.00172482147716503,5.43824484532077e-05,0.000513565648721096,3.75250830301417
"29","civil",0.00129138841706029,8.85576480965385e-05,0.000313346488706578,1.25259914322219e-05,-3.86616227426063
"30","clinton",1.1634129883426e-05,0.00318514295902185,0.000106175256503882,1.25259914322219e-05,8.0968510006886
"31","cnn",1.1634129883426e-05,0.00133774831329937,2.5896404025337e-06,1.25259914322219e-05,6.84529958407654
"32","come",1.1634129883426e-05,0.00287431147894791,2.5896404025337e-06,1.25259914322219e-05,7.94870928417416
"33","congratul",1.1634129883426e-05,0.00100932259850426,2.5896404025337e-06,1.25259914322219e-05,6.4388802348046
"34","corrupt",1.1634129883426e-05,0.00195941127344725,0.000157968064554556,1.25259914322219e-05,7.39591312009937
"35","countri",1.1634129883426e-05,0.00425839127701301,2.5896404025337e-06,1.25259914322219e-05,8.51580139028813
"36","cowork",0.00175675361239733,5.86474490705552e-07,2.5896404025337e-06,1.25259914322219e-05,-11.5485558865607
"37","cuck",1.1634129883426e-05,0.0012673713744147,5.43824484532077e-05,1.25259914322219e-05,6.76733220962391
"38","day",0.000127975428717686,0.00234061969240586,2.5896404025337e-06,0.000638825563043315,4.19295179763837
