"","Topic 1","Topic 2","Topic 3","Topic 4"
"1","delet","can","regist","equal"
"2","trump","first","absolut","speak"
"3","vote","new","instagram","greatest"
"4","will","ufdunnu","fli","letter"
"5","remov","candid","anoth","univers"
"6","hillari","job","creat","damag"
"7","peopl","togeth","amend","narrat"
"8","get","child","great","duti"
"9","just","check","incom","flip"
"10","take","comey","invit","collus"
"11","make","real","ladi","disgust"
"12","clinton","establish","liberti","enjoy"
"13","like","hous","began","get"
"14","udud","home","earn","mass"
"15","one","told","initi","prosecut"
"16","elect","hand","legitim","revolut"
"17","want","issu","sold","welcom"
"18","know","spread","throughout","bed"
"19","time","tuesday","archiv","disturb"
"20","email","etnclos","enthusiasm","jame"
"21","need","address","fed","latest"
"22","state","count","globalist","music"
"23","now","perform","led","negat"
"24","support","choos","load","sampl"
"25","say","huge","north","valid"
"26","win","concern","opposit","built"
"27","high","info","although","chain"
"28","poll","push","campus","congress"
"29","day","stuff","cnn","gone"
"30","see","elit","hanniti","island"
"31","dont","rule","stage","mani"
"32","maga","step","texa","son"
"33","let","week","dig","lawyer"
"34","work","massiv","guess","progress"
"35","america","brother","rest","pure"
"36","post","build","wast","requir"
"37","even","sander","beyond","wtf"
"38","countri","citi","bribe","advertis"
"39","american","lost","damn","becam"
"40","think","oper","dedic","reject"
"41","tomorrow","biggest","entiti","ron"
"42","corrupt","citizen","extend","artwork"
"43","year","servic","flore","brand"
"44","use","secur","haiti","challeng"
"45","mani","short","heaven","colorado"
"46","thing","total","media","creamer"
"47","world","death","normal","fals"
"48","show","station","okeef","interven"
"49","look","that","rapist","januari"
"50","also","well","sign","mad"
"51","fuck","drop","smoke","paul"
"52","call","dead","submit","protrump"
"53","right","practic","taliban","traitor"
"54","great","predict","thrown","weve"
"55","come","secret","wouldnt","air"
"56","back","articl","written","bulli"
"57","media","former","bar","fenc"
"58","donald","front","bridg","gave"
"59","good","gain","broken","hang"
"60","help","great","clear","hello"
"61","said","hour","error","hill"
"62","energi","pass","girlfriend","incid"
"63","forget","realiz","harder","launch"
"64","keep","certain","motherfuck","lower"
"65","voter","individu","murder","marin"
"66","ngt","longer","nasti","mouth"
"67","presid","luck","oath","negoti"
"68","democrat","debat","porn","phrase"
"69","may","gun","python","potus"
"70","way","odd","rapid","reform"
"71","wikileak","paid","ryan","sayntrump"
"72","start","project","screw","scream"
"73","campaign","boy","tactic","shoot"
"74","everi","convict","via","stronger"
"75","friend","explain","abev","aboard"
"76","govern","hire","alleg","ago"
"77","fbi","immedi","anyway","april"
"78","believ","join","appropri","battl"
"79","still","reach","assist","bought"
"80","tri","prevent","boost","fbianon"
"81","last","war","censor","firm"
"82","person","arabia","charg","goat"
"83","chang","area","defin","great"
"84","give","ban","depend","headlin"
"85","never","bush","disappear","insur"
"86","podesta","fix","dostum","jewish"
"87","guy","forward","exercis","laptop"
"88","much","minut","fate","leaker"
"89","pleas","special","fun","near"
"90","link","youtub","goldman","pastor"
"91","sure","christian","httpswikileaksorgdncemailsemailid","pool"
"92","happen","date","impli","rumor"
"93","polit","despit","kinda","theyll"
"94","talk","father","leadership","anymor"
"95","everyon","leader","mankind","asid"
"96","investig","vinc","nnbut","bigot"
"97","must","common","nnif","blackmail"
"98","someth","educ","nomine","blow"
"99","got","effort","nyc","branson"
"100","live","mccann","smart","broke"
