"","term","topic1","topic2","topic3","topic4","log_ratio"
"1","accus",1.35330266749489e-06,0.00122937893835727,0.000301321510051225,1.42953125670093e-05,9.8272294233059
"2","actual",0.00135465597016238,6.43653894427888e-06,1.43486433357726e-05,1.42953125670093e-05,-7.71742566356584
"3","address",1.35330266749489e-06,0.00296724445331257,1.43486433357726e-05,1.42953125670093e-05,11.0984235356995
"4","age",1.35330266749489e-06,0.0010362827700289,1.43486433357726e-05,1.42953125670093e-05,9.58071747338477
"5","alreadi",0.00138172202351228,0.000263898096715434,1.43486433357726e-05,1.42953125670093e-05,-2.38841455098957
"6","also",0.00258616139758273,6.43653894427888e-06,1.43486433357726e-05,1.42953125670093e-05,-8.65031146770731
"7","america",0.00353347326482915,6.43653894427888e-06,1.43486433357726e-05,1.42953125670093e-05,-9.10058614704269
"8","american",0.00337107694472977,6.43653894427888e-06,0.000301321510051225,1.42953125670093e-05,-9.03270871097069
"9","anyon",0.00158471742363651,6.43653894427888e-06,1.43486433357726e-05,1.42953125670093e-05,-7.94372476523106
"10","anyth",0.00161178347698641,6.43653894427888e-06,1.43486433357726e-05,1.42953125670093e-05,-7.96815710259396
"11","appar",1.35330266749489e-06,0.00116501354891448,1.43486433357726e-05,1.42953125670093e-05,9.74964648235335
"12","arabia",1.35330266749489e-06,0.00155120588557121,1.43486433357726e-05,1.42953125670093e-05,10.1626899315001
"13","area",1.35330266749489e-06,0.00155120588557121,1.43486433357726e-05,1.42953125670093e-05,10.1626899315001
"14","around",0.00109752846333835,6.43653894427888e-06,0.000731780810124403,1.42953125670093e-05,-7.41375750894712
"15","articl",0.00029907988951637,0.00187303283278516,0.000157835076693499,1.42953125670093e-05,2.646773378787
"16","ask",0.00162531650366136,0.000392628875601012,1.43486433357726e-05,1.42953125670093e-05,-2.0494825028726
"17","away",0.00112459451668825,6.43653894427888e-06,1.43486433357726e-05,1.42953125670093e-05,-7.44890407150019
"18","babi",1.35330266749489e-06,0.00116501354891448,1.43486433357726e-05,1.42953125670093e-05,9.74964648235335
"19","back",0.00249143021085809,6.43653894427888e-06,1.43486433357726e-05,1.42953125670093e-05,-8.59647331607976
"20","ban",4.19523826923415e-05,0.00155120588557121,0.000157835076693499,1.42953125670093e-05,5.20849362111324
"21","believ",0.00201777427723488,6.43653894427888e-06,1.43486433357726e-05,1.42953125670093e-05,-8.29226394701329
"22","berni",0.00107046240998846,6.43653894427888e-06,1.43486433357726e-05,1.42953125670093e-05,-7.37773328920264
"23","best",0.00120579267673794,0.000199532707272645,1.43486433357726e-05,1.42953125670093e-05,-2.5952847158649
