"","Topic 1","Topic 2","Topic 3","Topic 4"
"1","disgust","stood","trump","even"
"2","journalist","nnim","vote","ballot"
"3","hello","reveal","delet","nation"
"4","prostitut","built","remov","fight"
"5","institut","fate","will","cast"
"6","intent","jail","get","long"
"7","nice","pleasur","peopl","sinc"
"8","select","avoid","just","close"
"9","beer","neither","make","home"
"10","deliv","scan","elect","without"
"11","inc","comment","hillari","better"
"12","overwhelm","extrem","maga","guy"
"13","project","nntoday","can","hand"
"14","reflect","coast","one","thing"
"15","bash","decid","like","part"
"16","billionair","dog","poll","time"
"17","older","maintain","clinton","investig"
"18","sake","touch","know","singl"
"19","alex","aint","want","ago"
"20","assad","back","america","old"
"21","brought","nnthen","win","abl"
"22","color","plane","time","past"
"23","done","rapist","day","whole"
"24","initi","shown","state","fbi"
"25","oil","somewher","great","messag"
"26","overcom","statement","need","john"
"27","oversea","chao","now","true"
"28","plan","disappear","let","tri"
"29","quot","fewer","say","bless"
"30","refresh","short","donald","sourc"
"31","societi","space","work","choic"
"32","suicid","worship","today","forc"
"33","typic","xenophob","see","racist"
"34","area","distanc","countri","far"
"35","cabinet","mainstream","take","head"
"36","finder","nnwhat","american","leader"
"37","happen","relev","support","inform"
"38","impress","section","said","nnthe"
"39","jeb","separ","presid","luck"
"40","liter","shake","fuck","door"
"41","assign","altern","post","photo"
"42","attempt","appar","think","arm"
"43","class","australia","right","evid"
"44","doubl","blast","never","instead"
"45","execut","degre","udud","worri"
"46","hampshir","govern","look","announc"
"47","higher","marina","call","light"
"48","host","physic","voter","listen"
"49","instagram","pure","good","absolut"
"50","label","risk","back","problem"
"51","nnwhen","shock","year","sent"
"52","perman","situat","first","trust"
"53","time","soldier","got","walk"
"54","uncov","tendi","also","nnit"
"55","welcom","trend","way","servic"
"56","babylon","tune","come","activ"
"57","bought","vet","media","coupl"
"58","chase","zone","tomorrow","shall"
"59","combin","asleep","centiped","bank"
"60","decemb","bleed","line","act"
"61","disagre","chicago","god","buy"
"62","display","ddos","place","certain"
"63","forward","disabl","mani","don"
"64","greed","employ","everi","man"
"65","hang","fast","friend","secret"
"66","headlin","gather","corrupt","answer"
"67","islam","john","live","emperor"
"68","motiv","orang","ask","remind"
"69","nasti","presenc","help","civil"
"70","oppon","propos","show","connect"
"71","period","protrump","ive","game"
"72","recruit","reelect","use","step"
"73","righteous","satan","believ","thedonald"
"74","self","send","last","edit"
"75","stare","truli","world","hit"
"76","technic","bed","democrat","individu"
"77","ted","billion","love","quit"
"78","terrorist","bopp","ufdu","car"
"79","tight","chan","much","meet"
"80","veteran","chosen","energi","muslim"
"81","adam","drove","sure","network"
"82","annoy","found","everyon","alon"
"83","bubbl","founder","high","barack"
"84","chose","heavili","hope","class"
"85","conscious","ideolog","feel","court"
"86","drown","instinct","watch","decid"
"87","empti","journey","email","popular"
"88","entertain","milo","start","action"
"89","format","obvious","still","mother"
"90","grand","pasta","new","nhillari"
"91","height","pride","polit","rule"
"92","math","proclaim","red","sell"
"93","michigan","profil","dont","trumppenc"
"94","neighborhood","puerto","realli","wonder"
"95","nnas","refuge","report","common"
"96","park","satanist","republican","doubt"
"97","protect","southern","thank","googl"
"98","shed","speed","give","hes"
"99","spoke","stumbl","keep","multipl"
"100","tank","ten","ufc","electron"
