"","term","topic1","topic2","topic3","topic4","log_ratio"
"1","aint",1.29490068111776e-05,0.00153366457108092,8.86292249551535e-07,4.59229596429031e-06,6.8879977267647
"2","alex",0.00143733975604071,1.26749138105861e-05,8.86292249551535e-07,5.05152556071934e-05,-6.82528137686
"3","altern",1.29490068111776e-05,0.00115341715676333,8.86292249551535e-07,4.59229596429031e-06,6.4769291296888
"4","appar",1.29490068111776e-05,0.00115341715676333,0.000107241362195736,4.59229596429031e-06,6.4769291296888
"5","area",0.00130784968792894,1.26749138105861e-05,0.000417443649538774,4.59229596429031e-06,-6.68907699326169
"6","asleep",1.29490068111776e-05,0.00102666801865747,8.86292249551535e-07,4.59229596429031e-06,6.30898449237473
"7","assad",0.00143733975604071,1.26749138105861e-05,9.74921474506689e-06,4.59229596429031e-06,-6.82528137686
"8","assign",0.00117835961981716,1.26749138105861e-05,8.86292249551535e-07,0.000188284134535902,-6.53866015070859
"9","attempt",0.00117835961981716,1.26749138105861e-05,0.000178144742159859,4.59229596429031e-06,-6.53866015070859
"10","australia",1.29490068111776e-05,0.00115341715676333,8.86292249551535e-07,4.59229596429031e-06,6.4769291296888
"11","avoid",0.000271929143034729,0.0019139119853985,8.86292249551535e-07,4.59229596429031e-06,2.81522180603643
"12","babylon",0.00104886955170538,1.26749138105861e-05,8.86292249551535e-07,4.59229596429031e-06,-6.37071551339452
"13","back",1.29490068111776e-05,0.00153366457108092,0.00258885966094004,4.59229596429031e-06,6.8879977267647
"14","bash",0.00156682982415249,1.26749138105861e-05,8.86292249551535e-07,4.59229596429031e-06,-6.94972874778449
"15","beer",0.00169631989226426,1.26749138105861e-05,8.86292249551535e-07,9.64382152500964e-05,-7.06428851204734
"16","billionair",0.00156682982415249,1.26749138105861e-05,3.6337982231613e-05,4.59229596429031e-06,-6.94972874778449
"17","blast",1.29490068111776e-05,0.00115341715676333,8.86292249551535e-07,4.59229596429031e-06,6.4769291296888
"18","bleed",1.29490068111776e-05,0.00102666801865747,8.86292249551535e-07,4.59229596429031e-06,6.30898449237473
"19","bought",0.00104886955170538,1.26749138105861e-05,7.17896722136745e-05,4.59229596429031e-06,-6.37071551339452
"20","brought",0.00143733975604071,1.26749138105861e-05,0.000346540269574651,4.59229596429031e-06,-6.82528137686
"21","built",1.29490068111776e-05,0.00204066112350436,8.86292249551535e-07,4.59229596429031e-06,7.30005136760473
"22","cabinet",0.00130784968792894,1.26749138105861e-05,8.86292249551535e-07,4.59229596429031e-06,-6.68907699326169
"23","chao",1.29490068111776e-05,0.00140691543297506,8.86292249551535e-07,4.59229596429031e-06,6.76355035584021
"24","chase",0.00104886955170538,1.26749138105861e-05,8.86292249551535e-07,4.59229596429031e-06,-6.37071551339452
"25","chicago",1.29490068111776e-05,0.00102666801865747,8.86292249551535e-07,0.000463821892393321,6.30898449237473
"26","class",0.00117835961981716,1.26749138105861e-05,8.86292249551535e-07,0.00147412700453719,-6.53866015070859
"27","coast",1.29490068111776e-05,0.00166041370918678,1.86121372405823e-05,4.59229596429031e-06,7.00255749102756
"28","color",0.00143733975604071,1.26749138105861e-05,8.06525947091898e-05,4.59229596429031e-06,-6.82528137686
"29","combin",0.00104886955170538,1.26749138105861e-05,8.86292249551535e-07,4.59229596429031e-06,-6.37071551339452
"30","comment",1.29490068111776e-05,0.00178716284729264,0.000390854882052227,4.59229596429031e-06,7.1086858418889
"31","ddos",1.29490068111776e-05,0.00102666801865747,8.86292249551535e-07,4.59229596429031e-06,6.30898449237473
"32","decemb",0.00104886955170538,1.26749138105861e-05,2.74750597360976e-05,0.000280130053821708,-6.37071551339452
"33","decid",1.29490068111776e-05,0.00166041370918678,4.52009047271283e-05,0.00147412700453719,7.00255749102756
"34","degre",1.29490068111776e-05,0.00115341715676333,8.86292249551535e-07,4.59229596429031e-06,6.4769291296888
"35","deliv",0.00169631989226426,1.26749138105861e-05,8.86292249551535e-07,0.000142361174893,-7.06428851204734
"36","disabl",1.29490068111776e-05,0.00102666801865747,8.86292249551535e-07,4.59229596429031e-06,6.30898449237473
"37","disagre",0.00104886955170538,1.26749138105861e-05,1.86121372405823e-05,4.59229596429031e-06,-6.37071551339452
"38","disappear",1.29490068111776e-05,0.00140691543297506,8.86292249551535e-07,4.59229596429031e-06,6.76355035584021
"39","disgust",0.00337969077771735,1.26749138105861e-05,8.86292249551535e-07,4.59229596429031e-06,-8.05877150707978
"40","display",0.00104886955170538,1.26749138105861e-05,8.86292249551535e-07,4.59229596429031e-06,-6.37071551339452
"41","distanc",1.29490068111776e-05,0.00128016629486919,9.74921474506689e-06,4.59229596429031e-06,6.6273459722419
"42","dog",1.29490068111776e-05,0.00166041370918678,9.74921474506689e-06,4.59229596429031e-06,7.00255749102756
"43","done",0.00143733975604071,1.26749138105861e-05,0.00112647744918,4.59229596429031e-06,-6.82528137686
"44","doubl",0.00117835961981716,0.000773169742445751,8.86292249551535e-07,4.59229596429031e-06,-0.607922813145702
"45","employ",1.29490068111776e-05,0.00102666801865747,8.86292249551535e-07,4.59229596429031e-06,6.30898449237473
"46","execut",0.00117835961981716,1.26749138105861e-05,8.86292249551535e-07,0.000785282609893643,-6.53866015070859
"47","extrem",1.29490068111776e-05,0.00178716284729264,2.74750597360976e-05,9.64382152500964e-05,7.1086858418889
"48","fast",1.29490068111776e-05,0.00102666801865747,1.86121372405823e-05,9.64382152500964e-05,6.30898449237473
"49","fate",1.29490068111776e-05,0.00204066112350436,8.86292249551535e-07,4.59229596429031e-06,7.30005136760473
"50","fewer",1.29490068111776e-05,0.00140691543297506,9.83784397002205e-05,4.59229596429031e-06,6.76355035584021
"51","finder",0.00130784968792894,1.26749138105861e-05,8.86292249551535e-07,4.59229596429031e-06,-6.68907699326169
"52","forward",0.00104886955170538,0.000139424051916447,1.86121372405823e-05,0.00119858924667977,-2.91128389475722
"53","gather",1.29490068111776e-05,0.00102666801865747,4.52009047271283e-05,5.05152556071934e-05,6.30898449237473
"54","govern",1.29490068111776e-05,0.00115341715676333,0.00100239653424279,0.000647513730964933,6.4769291296888
"55","greed",0.00104886955170538,1.26749138105861e-05,8.86292249551535e-07,4.59229596429031e-06,-6.37071551339452
"56","hampshir",0.00117835961981716,0.000266173190022308,6.29267497181591e-05,4.59229596429031e-06,-2.14634272792983
"57","hang",0.00104886955170538,1.26749138105861e-05,7.17896722136745e-05,4.59229596429031e-06,-6.37071551339452
"58","happen",0.00130784968792894,1.26749138105861e-05,0.00162280110892886,4.59229596429031e-06,-6.68907699326169
"59","headlin",0.00104886955170538,1.26749138105861e-05,8.86292249551535e-07,4.59229596429031e-06,-6.37071551339452
"60","hello",0.00234377023282314,1.26749138105861e-05,8.86292249551535e-07,4.59229596429031e-06,-7.5307113975931
"61","higher",0.00117835961981716,0.000519671466234029,8.86292249551535e-07,0.000463821892393321,-1.1811081460905
"62","host",0.00117835961981716,1.26749138105861e-05,8.86292249551535e-07,4.59229596429031e-06,-6.53866015070859
"63","impress",0.00130784968792894,1.26749138105861e-05,8.86292249551535e-07,4.59229596429031e-06,-6.68907699326169
"64","inc",0.00169631989226426,1.26749138105861e-05,8.86292249551535e-07,9.64382152500964e-05,-7.06428851204734
"65","initi",0.00143733975604071,0.000139424051916447,8.86292249551535e-07,4.59229596429031e-06,-3.3658497582227
"66","instagram",0.00117835961981716,1.26749138105861e-05,8.86292249551535e-07,4.59229596429031e-06,-6.53866015070859
"67","institut",0.00195530002848782,1.26749138105861e-05,8.86292249551535e-07,4.59229596429031e-06,-7.26927024983497
"68","intent",0.00195530002848782,1.26749138105861e-05,8.86292249551535e-07,9.64382152500964e-05,-7.26927024983497
"69","islam",0.00104886955170538,1.26749138105861e-05,4.52009047271283e-05,9.64382152500964e-05,-6.37071551339452
"70","jail",1.29490068111776e-05,0.00204066112350436,9.74921474506689e-06,9.64382152500964e-05,7.30005136760473
"71","jeb",0.00130784968792894,1.26749138105861e-05,8.86292249551535e-07,4.59229596429031e-06,-6.68907699326169
"72","john",1.29490068111776e-05,0.00102666801865747,8.86292249551535e-07,0.00285181579382428,6.30898449237473
"73","journalist",0.00260275036904669,1.26749138105861e-05,8.86292249551535e-07,4.59229596429031e-06,-7.68191720168882
"74","label",0.00117835961981716,1.26749138105861e-05,8.86292249551535e-07,4.59229596429031e-06,-6.53866015070859
"75","liter",0.00130784968792894,1.26749138105861e-05,0.000550387486971504,4.59229596429031e-06,-6.68907699326169
"76","mainstream",1.29490068111776e-05,0.00128016629486919,0.000160418897168828,4.59229596429031e-06,6.6273459722419
"77","maintain",1.29490068111776e-05,0.00166041370918678,8.86292249551535e-07,4.59229596429031e-06,7.00255749102756
"78","marina",1.29490068111776e-05,0.00115341715676333,8.86292249551535e-07,9.64382152500964e-05,6.4769291296888
"79","motiv",0.00104886955170538,1.26749138105861e-05,9.83784397002205e-05,4.59229596429031e-06,-6.37071551339452
"80","nasti",0.00104886955170538,0.000266173190022308,8.86292249551535e-07,4.59229596429031e-06,-1.97839809061575
"81","neither",1.29490068111776e-05,0.0019139119853985,8.86292249551535e-07,4.59229596429031e-06,7.20753922881519
"82","nice",0.00195530002848782,1.26749138105861e-05,9.83784397002205e-05,4.59229596429031e-06,-7.26927024983497
"83","nnim",1.29490068111776e-05,0.00216741026161022,8.86292249551535e-07,4.59229596429031e-06,7.38698700437601
"84","nnthen",1.29490068111776e-05,0.00153366457108092,3.6337982231613e-05,4.59229596429031e-06,6.8879977267647
"85","nntoday",1.29490068111776e-05,0.00178716284729264,1.86121372405823e-05,0.000142361174893,7.1086858418889
"86","nnwhat",0.000142439074922953,0.00128016629486919,1.86121372405823e-05,5.05152556071934e-05,3.1679143536046
"87","nnwhen",0.00117835961981716,0.000139424051916447,8.86292249551535e-07,4.59229596429031e-06,-3.07922853207129
"88","oil",0.00143733975604071,1.26749138105861e-05,8.86292249551535e-07,0.000280130053821708,-6.82528137686
"89","older",0.00156682982415249,1.26749138105861e-05,1.86121372405823e-05,4.59229596429031e-06,-6.94972874778449
"90","oppon",0.00104886955170538,1.26749138105861e-05,8.86292249551535e-07,4.59229596429031e-06,-6.37071551339452
"91","orang",1.29490068111776e-05,0.00102666801865747,8.86292249551535e-07,4.59229596429031e-06,6.30898449237473
"92","overcom",0.00143733975604071,1.26749138105861e-05,8.86292249551535e-07,4.59229596429031e-06,-6.82528137686
"93","oversea",0.00143733975604071,1.26749138105861e-05,8.86292249551535e-07,4.59229596429031e-06,-6.82528137686
"94","overwhelm",0.00169631989226426,0.000392922328128169,8.86292249551535e-07,4.59229596429031e-06,-2.11009220166047
"95","period",0.00104886955170538,1.26749138105861e-05,8.86292249551535e-07,4.59229596429031e-06,-6.37071551339452
"96","perman",0.00117835961981716,1.26749138105861e-05,8.86292249551535e-07,4.59229596429031e-06,-6.53866015070859
"97","physic",1.29490068111776e-05,0.00115341715676333,8.86292249551535e-07,0.000280130053821708,6.4769291296888
"98","plan",0.00143733975604071,1.26749138105861e-05,0.000630153789431142,4.59229596429031e-06,-6.82528137686
"99","plane",1.29490068111776e-05,0.00153366457108092,2.74750597360976e-05,4.59229596429031e-06,6.8879977267647
"100","pleasur",0.000142439074922953,0.00204066112350436,2.74750597360976e-05,4.59229596429031e-06,3.84061974896743
"101","presenc",1.29490068111776e-05,0.00102666801865747,8.86292249551535e-07,4.59229596429031e-06,6.30898449237473
"102","project",0.00169631989226426,0.000392922328128169,8.86292249551535e-07,0.00060159077132203,-2.11009220166047
"103","propos",1.29490068111776e-05,0.00102666801865747,8.86292249551535e-07,4.59229596429031e-06,6.30898449237473
"104","prostitut",0.00208479009659959,1.26749138105861e-05,8.86292249551535e-07,4.59229596429031e-06,-7.36178238862451
"105","protrump",1.29490068111776e-05,0.00102666801865747,8.86292249551535e-07,4.59229596429031e-06,6.30898449237473
"106","pure",1.29490068111776e-05,0.00115341715676333,8.86292249551535e-07,4.59229596429031e-06,6.4769291296888
"107","quot",0.00143733975604071,1.26749138105861e-05,8.86292249551535e-07,4.59229596429031e-06,-6.82528137686
"108","rapist",1.29490068111776e-05,0.00153366457108092,8.86292249551535e-07,4.59229596429031e-06,6.8879977267647
"109","recruit",0.00104886955170538,0.000392922328128169,8.86292249551535e-07,4.59229596429031e-06,-1.41651920300764
"110","reelect",1.29490068111776e-05,0.00102666801865747,1.86121372405823e-05,4.59229596429031e-06,6.30898449237473
"111","reflect",0.00169631989226426,1.26749138105861e-05,8.86292249551535e-07,4.59229596429031e-06,-7.06428851204734
"112","refresh",0.00143733975604071,1.26749138105861e-05,8.86292249551535e-07,4.59229596429031e-06,-6.82528137686
"113","relev",1.29490068111776e-05,0.00128016629486919,8.86292249551535e-07,4.59229596429031e-06,6.6273459722419
"114","reveal",1.29490068111776e-05,0.00216741026161022,8.86292249551535e-07,4.59229596429031e-06,7.38698700437601
"115","righteous",0.00104886955170538,0.000266173190022308,8.86292249551535e-07,4.59229596429031e-06,-1.97839809061575
"116","risk",1.29490068111776e-05,0.00115341715676333,0.000116104284691251,4.59229596429031e-06,6.4769291296888
"117","sake",0.00156682982415249,1.26749138105861e-05,3.6337982231613e-05,4.59229596429031e-06,-6.94972874778449
"118","satan",1.29490068111776e-05,0.00102666801865747,8.86292249551535e-07,0.00119858924667977,6.30898449237473
"119","scan",0.000530909279258281,0.0019139119853985,1.86121372405823e-05,9.64382152500964e-05,1.8499872241971
"120","section",1.29490068111776e-05,0.00128016629486919,4.52009047271283e-05,9.64382152500964e-05,6.6273459722419
"121","select",0.00182580996037604,1.26749138105861e-05,4.52009047271283e-05,5.05152556071934e-05,-7.17041686290869
"122","self",0.00104886955170538,1.26749138105861e-05,8.06525947091898e-05,9.64382152500964e-05,-6.37071551339452
"123","send",1.29490068111776e-05,0.00102666801865747,0.000408580727043258,4.59229596429031e-06,6.30898449237473
"124","separ",1.29490068111776e-05,0.00128016629486919,5.40638272226437e-05,5.05152556071934e-05,6.6273459722419
"125","shake",0.000271929143034729,0.00128016629486919,8.86292249551535e-07,0.000142361174893,2.23502854946314
"126","shock",0.000660399347370057,0.00115341715676333,8.86292249551535e-07,9.64382152500964e-05,0.80450378771731
"127","short",1.29490068111776e-05,0.00140691543297506,5.40638272226437e-05,0.000371975973107515,6.76355035584021
"128","shown",1.29490068111776e-05,0.00153366457108092,0.000124967207186767,4.59229596429031e-06,6.8879977267647
"129","situat",1.29490068111776e-05,0.00115341715676333,6.29267497181591e-05,4.59229596429031e-06,6.4769291296888
"130","societi",0.00143733975604071,1.26749138105861e-05,3.6337982231613e-05,4.59229596429031e-06,-6.82528137686
"131","soldier",0.000142439074922953,0.00115341715676333,8.86292249551535e-07,4.59229596429031e-06,3.01749751105151
"132","somewher",1.29490068111776e-05,0.00153366457108092,8.86292249551535e-07,4.59229596429031e-06,6.8879977267647
"133","space",1.29490068111776e-05,0.00140691543297506,8.86292249551535e-07,4.59229596429031e-06,6.76355035584021
"134","stare",0.00104886955170538,1.26749138105861e-05,8.86292249551535e-07,4.59229596429031e-06,-6.37071551339452
"135","statement",1.29490068111776e-05,0.00153366457108092,8.86292249551535e-07,4.59229596429031e-06,6.8879977267647
"136","stood",1.29490068111776e-05,0.00292790509024539,8.86292249551535e-07,4.59229596429031e-06,7.82088353090617
"137","suicid",0.00143733975604071,0.000139424051916447,8.86292249551535e-07,4.59229596429031e-06,-3.3658497582227
"138","technic",0.00104886955170538,1.26749138105861e-05,8.86292249551535e-07,4.59229596429031e-06,-6.37071551339452
"139","ted",0.00104886955170538,0.000139424051916447,8.86292249551535e-07,4.59229596429031e-06,-2.91128389475722
"140","tendi",0.000142439074922953,0.00115341715676333,8.86292249551535e-07,4.59229596429031e-06,3.01749751105151
"141","terrorist",0.00104886955170538,1.26749138105861e-05,8.86292249551535e-07,0.000142361174893,-6.37071551339452
"142","tight",0.00104886955170538,0.000139424051916447,8.86292249551535e-07,4.59229596429031e-06,-2.91128389475722
"143","time",0.00117835961981716,1.26749138105861e-05,0.00440575877252069,0.00399988978489686,-6.53866015070859
"144","touch",1.29490068111776e-05,0.00166041370918678,8.86292249551535e-07,4.59229596429031e-06,7.00255749102756
"145","trend",1.29490068111776e-05,0.00115341715676333,3.6337982231613e-05,0.000234207094178806,6.4769291296888
"146","truli",1.29490068111776e-05,0.00102666801865747,0.000532661641980473,4.59229596429031e-06,6.30898449237473
"147","tune",0.000142439074922953,0.00115341715676333,1.86121372405823e-05,4.59229596429031e-06,3.01749751105151
"148","typic",0.00143733975604071,1.26749138105861e-05,8.86292249551535e-07,4.59229596429031e-06,-6.82528137686
"149","uncov",0.00117835961981716,1.26749138105861e-05,8.86292249551535e-07,4.59229596429031e-06,-6.53866015070859
"150","vet",1.29490068111776e-05,0.00115341715676333,4.52009047271283e-05,4.59229596429031e-06,6.4769291296888
